GEN,002
EXO,003
LEV,004
NUM,005
DEU,006
JOS,007
JDG,008
RUT,009
1SA,010
2SA,011
1KI,012
2KI,013
1CH,014
2CH,015
EZR,016
NEH,017
EST,018
JOB,019
PSA,020
PRO,021
ECC,022
SNG,023
ISA,024
JER,025
LAM,026
EZK,027
DAN,028
HOS,029
JOL,030
AMO,031
OBA,032
JON,033
MIC,034
NAM,035
HAB,036
ZEP,037
HAG,038
ZEC,039
MAL,040
TOB,041
JDT,042
ESG,043
WIS,045
SIR,046
BAR,047
S3Y,049
SUS,050
BEL,051
1MA,052
2MA,053
1ES,054
MAN,055
2ES,058
MAT,070
MRK,071
LUK,072
JHN,073
ACT,074
ROM,075
1CO,076
2CO,077
GAL,078
EPH,079
PHP,080
COL,081
1TH,082
2TH,083
1TI,084
2TI,085
TIT,086
PHM,087
HEB,088
JAS,089
1PE,090
2PE,091
1JN,092
2JN,093
3JN,094
JUD,095
REV,096
